Zone_no_,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
1,0.313215,0.32205,0.331041,0.340188,0.349494,0.358959,0.368584,0.378372,0.388322,0.398436,0.408716,0.419162,0.429776,0.440559,0.451512,0.462637,0.473934,0.485405,0.497051,0.508873,0.520873,0.533051,0.545409,0.557948,0.57067
2,0.73477,0.755496,0.776586,0.798046,0.819875,0.842079,0.864659,0.887619,0.910961,0.934688,0.958803,0.983309,1.00821,1.0335,1.0592,1.0853,1.1118,1.13871,1.16603,1.19376,1.22191,1.25048,1.27947,1.30889,1.33873
3,0.502774,0.516956,0.531388,0.546071,0.561009,0.576202,0.591652,0.607363,0.623335,0.63957,0.656071,0.67284,0.689877,0.707186,0.724768,0.742625,0.76076,0.779173,0.797867,0.816844,0.836106,0.855655,0.875492,0.89562,0.916041
4,0.941419,0.967973,0.994996,1.02249,1.05046,1.07891,1.10784,1.13726,1.16716,1.19756,1.22846,1.25986,1.29176,1.32417,1.35709,1.39053,1.42448,1.45896,1.49397,1.5295,1.56557,1.60217,1.63931,1.677,1.71524
5,0.189116,0.19445,0.199879,0.205402,0.21102,0.216735,0.222547,0.228456,0.234464,0.240571,0.246778,0.253085,0.259494,0.266004,0.272618,0.279335,0.286156,0.293082,0.300113,0.307252,0.314497,0.32185,0.329312,0.336883,0.344564
6,0.307516,0.31619,0.325017,0.333998,0.343135,0.352427,0.361878,0.371487,0.381256,0.391186,0.401279,0.411535,0.421956,0.432543,0.443296,0.454219,0.46531,0.476572,0.488007,0.499614,0.511395,0.523352,0.535485,0.547796,0.560286
7,0.522811,0.537558,0.552565,0.567834,0.583367,0.599165,0.615232,0.631569,0.648177,0.66506,0.682218,0.699655,0.717371,0.73537,0.753653,0.772222,0.791079,0.810226,0.829665,0.849398,0.869428,0.889756,0.910384,0.931314,0.952548
8,0.732437,0.753097,0.774121,0.795512,0.817272,0.839406,0.861914,0.884801,0.908069,0.931721,0.955759,0.980187,1.00501,1.03022,1.05584,1.08185,1.10827,1.13509,1.16233,1.18997,1.21803,1.24651,1.27541,1.30473,1.33448
9,0.735972,0.756731,0.777857,0.799351,0.821216,0.843456,0.866074,0.889071,0.912451,0.936217,0.960371,0.984917,1.00986,1.03519,1.06093,1.08707,1.11362,1.14057,1.16794,1.19571,1.22391,1.25253,1.28156,1.31103,1.34092
10,0.640629,0.658699,0.677088,0.695798,0.714831,0.73419,0.753877,0.773895,0.794246,0.814933,0.835959,0.857325,0.879034,0.901088,0.923491,0.946245,0.969351,0.992813,1.01663,1.04081,1.06536,1.09027,1.11554,1.14119,1.16721
11,0.353542,0.363514,0.373663,0.383988,0.394491,0.405175,0.41604,0.427087,0.438318,0.449735,0.461338,0.473129,0.48511,0.497281,0.509644,0.522201,0.534953,0.547901,0.561046,0.574391,0.587935,0.601682,0.615631,0.629784,0.644144
12,0.378852,0.389538,0.400412,0.411477,0.422733,0.434181,0.445823,0.457662,0.469697,0.481931,0.494364,0.507,0.519838,0.532881,0.546129,0.559585,0.573249,0.587124,0.601211,0.61551,0.630025,0.644755,0.659703,0.67487,0.690257
13,0.442864,0.455356,0.468068,0.481001,0.494159,0.507542,0.521151,0.53499,0.549058,0.563359,0.577894,0.592664,0.607672,0.622918,0.638405,0.654134,0.670108,0.686327,0.702793,0.719509,0.736476,0.753695,0.771169,0.788898,0.806885
14,0.343633,0.353326,0.363189,0.373225,0.383434,0.393819,0.404379,0.415116,0.426033,0.437129,0.448407,0.459868,0.471513,0.483343,0.49536,0.507565,0.519959,0.532544,0.545321,0.558291,0.571456,0.584817,0.598376,0.612132,0.626089
