61488600,46831800,42790400,37789100,37055100,38170900,38269200,38094800,37691600,37664100,37690100,36997300,37384900,38280800,39439500,40115800,41055000,41270800,42235300,42493300,42100600,43320900,44561600,45823000,47588800
58712400,44717300,40858400,36082900,35382000,36447500,36541400,36374800,35989800,35963600,35988400,35326900,35697000,36552400,37658800,38304600,39201400,39407400,40328400,40574700,40199800,41365000,42549700,43754100,45440200
49227700,37493500,34258000,30254000,29666300,30559700,30638300,30498700,30175900,30153900,30174700,29620000,29930300,30647600,31575300,32116700,32868600,33041400,33813600,34020100,33705800,34682700,35676000,36685900,38099600
51354900,39113700,35738300,31561300,30948200,31880200,31962300,31816600,31479800,31456900,31478600,30900000,31223700,31972000,32939700,33504500,34288900,34469200,35274700,35490200,35162200,36181400,37217700,38271100,39746000
47986300,36548000,33394000,29491000,28918100,29789000,29865700,29729500,29414900,29393400,29413700,28873000,29175500,29874700,30779000,31306800,32039700,32208100,32960800,33162200,32855700,33808100,34776300,35760700,37138800
56498400,43031200,39317700,34722300,34047900,35073200,35163500,35003200,34632700,34607500,34631400,33994800,34350900,35174100,36238800,36860200,37723200,37921500,38807700,39044700,38683900,39805200,40945200,42104200,43726700
44347000,33776200,30861400,27254400,26725000,27529800,27600600,27474800,27184000,27164200,27183000,26683300,26962900,27609000,28444700,28932400,29609800,29765500,30461100,30647100,30363900,31244000,32138900,33048600,34322200
60472900,46058200,42083600,37164900,36443000,37540400,37637100,37465500,37069000,37042000,37067600,36386200,36767400,37648500,38788000,39453100,40376800,40589100,41537600,41791400,41405200,42605300,43825600,45066100,46802700
60975700,46441200,42433500,37473900,36746000,37852600,37950000,37777000,37377200,37349900,37375800,36688700,37073100,37961500,39110500,39781200,40712500,40926600,41883000,42138800,41749500,42959600,44189900,45440800,47191900
30849000,23495700,21468100,18958900,18590700,19150500,19199800,19112300,18910000,18896200,18909300,18561700,18756100,19205600,19786900,20126200,20597400,20705700,21189600,21319000,21122000,21734200,22356700,22989600,23875500
81396700,61994600,56644700,50024100,49052400,50529600,50659700,50428800,49895000,49858600,49893100,48975900,49489000,50675000,52208900,53104100,54347400,54633100,55909800,56251400,55731600,57346900,58989400,60659100,62996700
54710600,41669500,38073600,33623600,32970500,33963400,34050800,33895600,33536800,33512400,33535600,32919100,33264000,34061100,35092100,35693800,36529500,36721500,37579700,37809200,37459900,38545600,39649600,40771900,42343100
87518200,66656900,60904700,53786200,52741500,54329700,54469600,54221300,53647400,53608300,53645400,52659200,53210900,54486100,56135300,57097800,58434600,58741800,60114600,60481800,59922900,61659800,63425700,65221100,67734400
89285700,68003000,62134600,54872400,53806600,55426900,55569600,55316300,54730800,54690900,54728700,53722700,54285500,55586400,57268900,58250900,59614700,59928100,61328600,61703200,61133000,62905000,64706600,66538200,69102300
